N,M,Max Precision (bits),Min Precision (bits),Network,Layer,Cycles,Memory wait cycles,WBUF Read,WBUF Write,OBUF Read,OBUF Write,IBUF Read,IBUF Write,DRAM Read,DRAM Write,Bandwidth (bits/cycle),WBUF Size (bits),OBUF Size (bits),IBUF Size (bits),Batch size
16,32,8,2,AlexNet,conv4_b/Convolution,2436097,403969,16647192576,5308416,231211008,231211008,16647192576,231211008,352124928,115605504,192,65536,16384,32768,16
16,32,8,2,AlexNet,conv2_a/Convolution,5018849,1249,41104179200,3276800,411041792,411041792,41104179200,462422016,671219712,205520896,192,65536,16384,32768,16
16,32,8,2,AlexNet,fc3/MatMul,398679,136535,1073741824,67108864,8388608,8388608,1073741824,1048576,72351744,4194304,192,65536,16384,32768,16
16,32,8,2,AlexNet,conv1_b/Convolution,3746423,406823,13493145600,282624,297369600,297369600,13493145600,421660800,570628224,148684800,192,65536,16384,32768,16
16,32,8,2,AlexNet,conv3_a/Convolution,3248129,538625,22196256768,7077888,308281344,308281344,22196256768,308281344,469499904,154140672,192,65536,16384,32768,16
16,32,8,2,AlexNet,conv4_a/Convolution,2436097,403969,16647192576,5308416,231211008,231211008,16647192576,231211008,352124928,115605504,192,65536,16384,32768,16
16,32,8,2,AlexNet,conv1_a/Convolution,3746423,406823,13493145600,282624,297369600,297369600,13493145600,421660800,570628224,148684800,192,65536,16384,32768,16
16,32,8,2,AlexNet,conv5_b/Convolution,1624065,269313,11098128384,3538944,154140672,154140672,11098128384,154140672,234749952,77070336,192,65536,16384,32768,16
16,32,8,2,AlexNet,fc1/MatMul,3545090,2365442,9663676416,603979776,75497472,75497472,9663676416,1179648,642908160,37748736,192,65536,16384,32768,16
16,32,8,2,AlexNet,conv3_b/Convolution,3248129,538625,22196256768,7077888,308281344,308281344,22196256768,308281344,469499904,154140672,192,65536,16384,32768,16
16,32,8,2,AlexNet,conv2_b/Convolution,5018849,1249,41104179200,3276800,411041792,411041792,41104179200,462422016,671219712,205520896,192,65536,16384,32768,16
16,32,8,2,AlexNet,fc2/MatMul,1575596,1051308,4294967296,268435456,33554432,33554432,4294967296,524288,285736960,16777216,192,65536,16384,32768,16
16,32,8,2,AlexNet,conv5_a/Convolution,1624065,269313,11098128384,3538944,154140672,154140672,11098128384,154140672,234749952,77070336,192,65536,16384,32768,16
16,32,8,2,SVHN,conv4/Convolution,92161,18433,301989888,327680,16777216,16777216,301989888,589824,9306112,8388608,192,65536,16384,32768,16
16,32,8,2,SVHN,fc7/MatMul,11009,8961,16777216,1048576,1048576,1048576,16777216,16384,1589248,524288,192,65536,16384,32768,16
16,32,8,2,SVHN,conv0/Convolution,367979,335211,28311552,4096,67108864,67108864,226492416,3538944,37097472,33554432,192,65536,16384,32768,16
16,32,8,2,SVHN,conv3/Convolution,179884,32428,603979776,163840,33554432,33554432,603979776,819200,17760256,16777216,192,65536,16384,32768,16
16,32,8,2,SVHN,conv1/Convolution,358316,63404,603979776,49152,67108864,67108864,603979776,1638400,35241984,33554432,192,65536,16384,32768,16
16,32,8,2,SVHN,conv2/Convolution,177409,29953,301989888,98304,33554432,33554432,301989888,409600,17285120,16777216,192,65536,16384,32768,16
16,32,8,2,SVHN,fc8/MatMul,374,310,163840,10240,21504,21504,163840,16384,43008,16384,192,65536,16384,32768,16
16,32,8,2,SVHN,conv5/Convolution,102742,29014,603979776,589824,16777216,16777216,603979776,2359296,11337728,8388608,192,65536,16384,32768,16
16,32,8,2,SVHN,fc6/MatMul,27649,19457,67108864,4194304,1048576,1048576,67108864,65536,4784128,524288,192,65536,16384,32768,16
16,32,8,2,CIFAR10,conv4/Convolution,255318,107862,2415919104,2359296,33554432,33554432,2415919104,13107200,32243712,16777216,192,65536,16384,32768,16
16,32,8,2,CIFAR10,fc7/MatMul,16555,14507,33554432,2097152,1048576,1048576,33554432,32768,2654208,524288,192,65536,16384,32768,16
16,32,8,2,CIFAR10,conv0/Convolution,717654,586582,452984832,32768,134217728,134217728,452984832,3538944,70680576,67108864,192,65536,16384,32768,16
16,32,8,2,CIFAR10,conv3/Convolution,492204,197292,4831838208,1179648,67108864,67108864,4831838208,26214400,60948480,33554432,192,65536,16384,32768,16
16,32,8,2,CIFAR10,conv1/Convolution,799062,209238,4831838208,327680,134217728,134217728,4831838208,18874368,86310912,67108864,192,65536,16384,32768,16
16,32,8,2,CIFAR10,conv2/Convolution,402091,107179,2415919104,655360,67108864,67108864,2415919104,9437184,43646976,33554432,192,65536,16384,32768,16
16,32,8,2,CIFAR10,fc8/MatMul,513,449,327680,20480,21504,21504,327680,32768,69632,16384,192,65536,16384,32768,16
16,32,8,2,CIFAR10,conv5/Convolution,510636,215724,4831838208,4718592,67108864,67108864,4831838208,26214400,64487424,33554432,192,65536,16384,32768,16
16,32,8,2,CIFAR10,fc6/MatMul,99671,83287,268435456,16777216,2097152,2097152,268435456,262144,18087936,1048576,192,65536,16384,32768,16
16,32,8,2,LeNet-5,conv1/Convolution,205635,835,419430400,131072,16777216,16777216,419430400,13107200,21626880,8388608,192,65536,16384,32768,16
16,32,8,2,LeNet-5,fc2/MatMul,342,310,163840,10240,21504,21504,163840,16384,43008,16384,192,65536,16384,32768,16
16,32,8,2,LeNet-5,conv0/Convolution,179116,162732,26214400,16384,33554432,33554432,26214400,819200,17612800,16777216,192,65536,16384,32768,16
16,32,8,2,LeNet-5,fc1/MatMul,25259,21163,67108864,4194304,1310720,1310720,67108864,131072,4587520,262144,192,65536,16384,32768,16
16,32,8,2,VGG-7,conv2_a/Convolution,402091,107179,2415919104,655360,67108864,67108864,2415919104,9437184,43646976,33554432,192,65536,16384,32768,16
16,32,8,2,VGG-7,conv1_b/Convolution,704001,638465,113246208,65536,134217728,134217728,113246208,884736,68059136,67108864,192,65536,16384,32768,16
16,32,8,2,VGG-7,conv3_a/Convolution,255318,107862,2415919104,2359296,33554432,33554432,2415919104,13107200,32243712,16777216,192,65536,16384,32768,16
16,32,8,2,VGG-7,conv1_a/Convolution,704001,638465,113246208,65536,134217728,134217728,113246208,884736,68059136,67108864,192,65536,16384,32768,16
16,32,8,2,VGG-7,fc1/MatMul,99671,83287,268435456,16777216,2097152,2097152,268435456,262144,18087936,1048576,192,65536,16384,32768,16
16,32,8,2,VGG-7,conv3_b/Convolution,255318,107862,2415919104,2359296,33554432,33554432,2415919104,13107200,32243712,16777216,192,65536,16384,32768,16
16,32,8,2,VGG-7,conv2_b/Convolution,402091,107179,2415919104,655360,67108864,67108864,2415919104,9437184,43646976,33554432,192,65536,16384,32768,16
16,32,8,2,RESNET-18,module4/conv4_1_b/Convolution,4330838,718166,29595009024,9437184,411041792,411041792,29595009024,411041792,625999872,205520896,192,65536,16384,32768,16
16,32,8,2,RESNET-18,module3/conv3_1_a/Convolution,1104555,903851,1644167168,131072,205520896,205520896,1644167168,6422528,109314048,102760448,192,65536,16384,32768,16
16,32,8,2,RESNET-18,module2/conv2_1_a/Convolution,2274988,1873580,3288334336,65536,411041792,411041792,3288334336,25690112,231276544,205520896,192,65536,16384,32768,16
16,32,8,2,RESNET-18,module2/conv2_1_b/Convolution,3613708,1036,29595009024,589824,411041792,411041792,29595009024,231211008,437321728,205520896,192,65536,16384,32768,16
16,32,8,2,RESNET-18,module4/conv4_2_b/Convolution,4330838,718166,29595009024,9437184,411041792,411041792,29595009024,411041792,625999872,205520896,192,65536,16384,32768,16
16,32,8,2,RESNET-18,module2/conv2_2_a/Convolution,2274988,1873580,3288334336,65536,411041792,411041792,3288334336,25690112,231276544,205520896,192,65536,16384,32768,16
16,32,8,2,RESNET-18,conv1_a/Convolution,9793537,1765377,30211571712,163840,1644167168,1644167168,30211571712,236027904,1058275328,822083584,192,65536,16384,32768,16
16,32,8,2,RESNET-18,module5/conv5_2_b/Convolution,3614180,1508,29595009024,37748736,411041792,411041792,29595009024,169869312,413138944,205520896,192,65536,16384,32768,16
16,32,8,2,RESNET-18,module3/conv3_1_b/Convolution,3613708,1036,29595009024,2359296,411041792,411041792,29595009024,231211008,439091200,205520896,192,65536,16384,32768,16
16,32,8,2,RESNET-18,module3/conv3_2_b/Convolution,3613708,1036,29595009024,2359296,411041792,411041792,29595009024,231211008,439091200,205520896,192,65536,16384,32768,16
16,32,8,2,RESNET-18,module3/conv3_2_a/Convolution,1138689,737281,3288334336,262144,205520896,205520896,3288334336,12845056,115867648,102760448,192,65536,16384,32768,16
16,32,8,2,RESNET-18,module5/conv5_1_a/Convolution,345431,144727,1644167168,2097152,51380224,51380224,1644167168,12845056,40632320,25690112,192,65536,16384,32768,16
16,32,8,2,RESNET-18,module2/conv2_2_b/Convolution,3613708,1036,29595009024,589824,411041792,411041792,29595009024,231211008,437321728,205520896,192,65536,16384,32768,16
16,32,8,2,RESNET-18,module4/conv4_2_a/Convolution,674476,273068,3288334336,1048576,102760448,102760448,3288334336,25690112,78118912,51380224,192,65536,16384,32768,16
16,32,8,2,RESNET-18,module5/conv5_1_b/Convolution,3614180,1508,29595009024,37748736,411041792,411041792,29595009024,169869312,413138944,205520896,192,65536,16384,32768,16
16,32,8,2,RESNET-18,module5/conv5_2_a/Convolution,557057,155649,3288334336,4194304,51380224,51380224,3288334336,51380224,81264640,25690112,192,65536,16384,32768,16
16,32,8,2,RESNET-18,module4/conv4_1_a/Convolution,571393,370689,1644167168,524288,102760448,102760448,1644167168,6422528,58327040,51380224,192,65536,16384,32768,16
16,32,8,2,RNN,matmul/MatMul,394583,263511,1073741824,67108864,8388608,8388608,1073741824,262144,71565312,4194304,192,65536,16384,32768,16
16,32,8,2,LSTM,matmul/MatMul,337175,231383,866648064,54165504,110231552,110231552,866648064,6770688,62836736,1900544,192,65536,16384,32768,16
16,32,8,2,AlexNet,conv4_b/Convolution,1752219,27,14353956864,5308416,398721024,398721024,14353956864,448561152,653230080,199360512,4096,65536,16384,32768,16
16,32,8,2,AlexNet,conv2_a/Convolution,4665659,59,38220595200,3276800,382205952,382205952,38220595200,1194393600,1388773376,191102976,4096,65536,16384,32768,16
16,32,8,2,AlexNet,fc3/MatMul,262148,4,1073741824,268435456,268959744,268959744,1073741824,33554432,302514176,524288,4096,65536,16384,32768,16
16,32,8,2,AlexNet,conv1_b/Convolution,3339626,26,13493145600,282624,297369600,297369600,13493145600,421660800,570628224,148684800,4096,65536,16384,32768,16
16,32,8,2,AlexNet,conv3_a/Convolution,2336283,27,19138609152,7077888,531628032,531628032,19138609152,598081536,870973440,265814016,4096,65536,16384,32768,16
16,32,8,2,AlexNet,conv4_a/Convolution,1752219,27,14353956864,5308416,398721024,398721024,14353956864,448561152,653230080,199360512,4096,65536,16384,32768,16
16,32,8,2,AlexNet,conv1_a/Convolution,3339626,26,13493145600,282624,297369600,297369600,13493145600,421660800,570628224,148684800,4096,65536,16384,32768,16
16,32,8,2,AlexNet,conv5_b/Convolution,1168155,27,9569304576,3538944,265814016,265814016,9569304576,299040768,435486720,132907008,4096,65536,16384,32768,16
16,32,8,2,AlexNet,fc1/MatMul,1179653,5,9663676416,2415919104,1212153856,1212153856,9663676416,301989888,2722103296,4194304,4096,65536,16384,32768,16
16,32,8,2,AlexNet,conv3_b/Convolution,2336283,27,19138609152,7077888,531628032,531628032,19138609152,598081536,870973440,265814016,4096,65536,16384,32768,16
16,32,8,2,AlexNet,conv2_b/Convolution,4665659,59,38220595200,3276800,382205952,382205952,38220595200,1194393600,1388773376,191102976,4096,65536,16384,32768,16
16,32,8,2,AlexNet,fc2/MatMul,524295,7,4294967296,536870912,541065216,541065216,4294967296,134217728,675282944,4194304,4096,65536,16384,32768,16
