Benchmark,Layer,ALU,DRAM,Buffer,Array,RF,time(ms)
AlexNet,conv1_a,843321600.0,1228108800.0,36843264.0,82679712.0,3373286400.0,5575680
AlexNet,conv1_b,843321600.0,1228108800.0,36843264.0,82679712.0,3373286400.0,5575680
AlexNet,pool1_a,5038848.0,593664000.0,17809920.0,5260800.0,20155392.0,27648
AlexNet,pool1_b,5038848.0,593664000.0,17809920.0,5260800.0,20155392.0,27648
AlexNet,conv2_a,1791590400.0,937728000.0,94556160.0,218972160.0,7166361600.0,13271040
AlexNet,conv2_b,1791590400.0,937728000.0,94556160.0,218972160.0,7166361600.0,13271040
AlexNet,pool2_a,3115008.0,367820800.0,11034624.0,3244032.0,12460032.0,18432
AlexNet,pool2_b,3115008.0,367820800.0,11034624.0,3244032.0,12460032.0,18432
AlexNet,conv3_a,1196163072.0,1010688000.0,30320640.0,111666720.0,4859412480.0,6230016
AlexNet,conv3_b,1196163072.0,1010688000.0,30320640.0,111666720.0,4859412480.0,6230016
AlexNet,conv4_a,897122304.0,783974400.0,23519232.0,84281376.0,3644559360.0,4672512
AlexNet,conv4_b,897122304.0,783974400.0,23519232.0,84281376.0,3644559360.0,4672512
AlexNet,conv5_a,598081536.0,522649600.0,15679488.0,56187584.0,2429706240.0,3115008
AlexNet,conv5_b,598081536.0,522649600.0,15679488.0,56187584.0,2429706240.0,3115008
AlexNet,pool3_a,663552.0,83968000.0,2519040.0,4616192.0,2654208.0,4608
AlexNet,pool3_b,663552.0,83968000.0,2519040.0,4616192.0,2654208.0,4608
AlexNet,fc1,603979776.0,7680819200.0,330694656.0,204341248.0,2415919104.0,3145728
AlexNet,fc2,268435456.0,3394764800.0,101842944.0,66846720.0,1073741824.0,1048576
AlexNet,fc3,65536000.0,835507200.0,25065216.0,16876288.0,268435456.0,262144
SVHN,conv0,28311552.0,221504000.0,6645120.0,4924288.0,113246208.0,147456
SVHN,conv1,603979776.0,801177600.0,24035328.0,55689216.0,2415919104.0,3145728
SVHN,pool1,1048576.0,262144000.0,7864320.0,0.0,4194304.0,4096
SVHN,conv2,301989888.0,289177600.0,8675328.0,33803264.0,1226833920.0,1277952
SVHN,conv3,603979776.0,606208000.0,18186240.0,70860800.0,2453667840.0,2555904
